Date,Time,LMP ($/MWh),SRP ($/MWh)
01/14/2024,2,170.66899,0.35
01/14/2024,3,164.75806,0.526
01/14/2024,4,164.7625,0.60726
01/14/2024,5,163.57271,0.83074
01/14/2024,6,169.80022,0.66821
01/14/2024,7,179.03925,0.35
01/14/2024,8,166.7107,0.35
01/14/2024,9,117.83833,0.42
01/14/2024,10,70.41002,2.52368
01/14/2024,11,46.07239,0.35
01/14/2024,12,44.34669,0.91905
01/14/2024,13,40.09417,0.35
01/14/2024,14,36.46123,0.35
01/14/2024,15,43.56422,0.58
01/14/2024,16,90.91016,0.35
01/14/2024,17,167.97955,0.72
01/14/2024,18,195.08199,1.2185
01/14/2024,19,191.68979,1
01/14/2024,20,194.86475,2.97312
01/14/2024,21,194.92514,3.217
01/14/2024,22,193.11143,1.34
01/14/2024,23,191.01366,1.5
01/14/2024,24,182.70074,0.7
01/15/2024,1,202.38461,0.35
01/15/2024,2,188.70055,0.35
01/15/2024,3,188.6417,0.35
01/15/2024,4,187.50494,0.35
01/15/2024,5,189.08258,0.35
01/15/2024,6,207.59113,0.50656
01/15/2024,7,221.80858,4.149
01/15/2024,8,215.54,1.49263
01/15/2024,9,167.30579,0.35
01/15/2024,10,134.48776,0.55
01/15/2024,11,127.41656,0.35
01/15/2024,12,121.559,0.35
01/15/2024,13,123.28226,0.35
01/15/2024,14,120.43081,0.35
01/15/2024,15,127.56311,0.35
01/15/2024,16,156.08487,0.35
01/15/2024,17,235.01875,2.92197
01/15/2024,18,253.22849,5.5
01/15/2024,19,250,5.5
01/15/2024,20,252.46786,11.08
01/15/2024,21,249.41719,6.25347
01/15/2024,22,247.02472,2.81
01/15/2024,23,229.29411,2.8
01/15/2024,24,217.32143,1
01/16/2024,1,207.54332,1
01/16/2024,2,204.55605,0.6
01/16/2024,3,206.19878,0.56361
01/16/2024,4,205.9836,0.65279
01/16/2024,5,210.15404,0.5
01/16/2024,6,214.99422,0.71967
01/16/2024,7,224.27763,1
01/16/2024,8,216.38863,1.65349
01/16/2024,9,161.98486,4.14
01/16/2024,10,132.47311,0.35
01/16/2024,11,115.08468,0.35
01/16/2024,12,109.46055,0.35
01/16/2024,13,103.53747,0.14
01/16/2024,14,99.20296,0.14
01/16/2024,15,111.74281,0.15
01/16/2024,16,138.60602,0.35
01/16/2024,17,221.99457,1
01/16/2024,18,224.95502,3.57144
01/16/2024,19,226.34357,5
01/16/2024,20,227.44211,5.5
01/16/2024,21,224.72893,4.04
01/16/2024,22,218.76912,2.81
01/16/2024,23,207.66664,1
01/16/2024,24,202.12125,1
01/17/2024,1,79.41622,0.35
01/17/2024,2,73.85504,0.35
01/17/2024,3,72.25947,0.35
01/17/2024,4,71.95138,0.35
01/17/2024,5,76.71625,0.91623
01/17/2024,6,82.79855,1
