Date,Time,LMP ($/MWh),SRP ($/MWh),hour_idx,day_idx
09/12/2024,24,32.7877,1.5,6142,255
09/13/2024,1,31.31543,0.45,6143,255
09/13/2024,2,31.09951,0.14,6144,256
09/13/2024,3,30.49057,0.14,6145,256
09/13/2024,4,30.59656,0.14,6146,256
09/13/2024,5,30.83509,0.14,6147,256
09/13/2024,6,35.0,0.14,6148,256
09/13/2024,7,38.57686,0.5,6149,256
09/13/2024,8,30.51702,0.6,6150,256
09/13/2024,9,12.85305,0.5,6151,256
09/13/2024,10,8.70732,0.14,6152,256
09/13/2024,11,8.98876,0.14,6153,256
09/13/2024,12,7.72154,0.14,6154,256
09/13/2024,13,7.24043,0.14,6155,256
09/13/2024,14,7.44717,0.14,6156,256
09/13/2024,15,8.93174,0.14,6157,256
09/13/2024,16,14.44318,0.14,6158,256
09/13/2024,17,21.98349,0.14,6159,256
09/13/2024,18,37.38558,0.6,6160,256
09/13/2024,19,41.58781,0.75,6161,256
09/13/2024,20,42.86848,0.75,6162,256
09/13/2024,21,40.50885,0.75,6163,256
09/13/2024,22,37.97557,0.6,6164,256
09/13/2024,23,37.53441,0.6,6165,256
09/13/2024,24,37.00617,0.75,6166,256
09/14/2024,1,30.59932,0.75,6167,256
09/14/2024,2,31.99091,0.14,6168,257
09/14/2024,3,31.33472,0.14,6169,257
09/14/2024,4,30.92111,0.14,6170,257
09/14/2024,5,32.53698,0.14,6171,257
09/14/2024,6,32.61376,0.14,6172,257
09/14/2024,7,34.15,0.5,6173,257
09/14/2024,8,27.65695,0.5,6174,257
09/14/2024,9,5.9443,0.5,6175,257
09/14/2024,10,2.08599,0.18026,6176,257
09/14/2024,11,1.61619,0.14,6177,257
09/14/2024,12,-0.38808,0.14,6178,257
09/14/2024,13,-0.54661,0.14,6179,257
09/14/2024,14,-0.61109,0.14,6180,257
09/14/2024,15,1.48578,0.14,6181,257
09/14/2024,16,5.60451,0.14,6182,257
09/14/2024,17,14.21712,0.14,6183,257
09/14/2024,18,35.08581,0.14,6184,257
09/14/2024,19,41.65358,0.75,6185,257
09/14/2024,20,40.64583,0.75,6186,257
09/14/2024,21,38.58099,0.75,6187,257
09/14/2024,22,36.43597,0.74108,6188,257
09/14/2024,23,35.29082,0.75,6189,257
09/14/2024,24,34.63727,0.75,6190,257
09/15/2024,1,32.23743,0.75,6191,257
09/15/2024,2,32.517,0.28755,6192,258
09/15/2024,3,32.42132,0.14,6193,258
09/15/2024,4,31.95256,0.14,6194,258
09/15/2024,5,32.40789,0.14,6195,258
09/15/2024,6,32.36515,0.28957,6196,258
09/15/2024,7,32.34505,0.5,6197,258
09/15/2024,8,23.98219,0.5,6198,258
09/15/2024,9,-4.37534,0.5,6199,258
09/15/2024,10,-7.67445,0.5,6200,258
09/15/2024,11,-6.19587,0.14,6201,258
09/15/2024,12,-5.89941,0.14,6202,258
09/15/2024,13,-5.45926,0.14,6203,258
09/15/2024,14,-6.04571,0.14,6204,258
09/15/2024,15,-6.48707,0.14,6205,258
09/15/2024,16,-6.49776,0.14,6206,258
09/15/2024,17,-4.5519,0.14,6207,258
09/15/2024,18,27.94584,0.14,6208,258
09/15/2024,19,36.71512,0.75,6209,258
09/15/2024,20,39.05091,0.75,6210,258
09/15/2024,21,36.93415,0.75,6211,258
09/15/2024,22,34.03857,0.75,6212,258
09/15/2024,23,33.25096,0.69019,6213,258
09/15/2024,24,32.63652,0.75,6214,258
09/16/2024,1,30.21923,0.19198,6215,258
09/16/2024,2,30.28556,0.14,6216,259
09/16/2024,3,29.36138,0.14,6217,259
09/16/2024,4,29.17437,0.14,6218,259
09/16/2024,5,31.15353,0.14,6219,259
09/16/2024,6,37.03691,0.14,6220,259
09/16/2024,7,38.42653,0.75,6221,259
09/16/2024,8,32.37046,0.75,6222,259
09/16/2024,9,3.49334,0.5,6223,259
09/16/2024,10,0.79855,0.5,6224,259
09/16/2024,11,-1.21894,0.3,6225,259
09/16/2024,12,-2.04464,0.14,6226,259
09/16/2024,13,-2.91106,0.14,6227,259
09/16/2024,14,-2.31674,0.14,6228,259
09/16/2024,15,-3.56728,0.14,6229,259
09/16/2024,16,-3.51713,0.14,6230,259
09/16/2024,17,1.93668,0.14,6231,259
09/16/2024,18,26.93125,0.14,6232,259
09/16/2024,19,34.88,0.75,6233,259
09/16/2024,20,35.54661,1.0,6234,259
09/16/2024,21,34.92271,0.75,6235,259
09/16/2024,22,33.79213,0.40666,6236,259
09/16/2024,23,34.00999,0.75,6237,259
09/16/2024,24,33.09701,0.75,6238,259
09/17/2024,1,31.21147,0.14,6239,259
09/17/2024,2,30.47485,0.14,6240,260
09/17/2024,3,29.74444,0.14,6241,260
09/17/2024,4,29.43007,0.14,6242,260
09/17/2024,5,30.41574,0.14,6243,260
09/17/2024,6,31.3158,0.14,6244,260
09/17/2024,7,34.20057,0.5,6245,260
09/17/2024,8,29.88311,0.5,6246,260
09/17/2024,9,-4.37998,0.5,6247,260
09/17/2024,10,-8.0003,0.14,6248,260
09/17/2024,11,-7.39407,0.14,6249,260
09/17/2024,12,-8.38739,0.14,6250,260
09/17/2024,13,-10.33506,0.14,6251,260
09/17/2024,14,-10.20827,0.14,6252,260
09/17/2024,15,-10.0369,0.14,6253,260
09/17/2024,16,-10.04735,0.14,6254,260
09/17/2024,17,-4.74907,0.14,6255,260
09/17/2024,18,22.69262,0.14,6256,260
09/17/2024,19,35.895,0.75,6257,260
09/17/2024,20,36.70035,0.82066,6258,260
09/17/2024,21,35.15172,0.75,6259,260
09/17/2024,22,34.33527,0.50176,6260,260
09/17/2024,23,34.20417,0.75,6261,260
09/17/2024,24,33.14611,0.75,6262,260
09/18/2024,1,35.95887,0.14,6263,260
09/18/2024,2,33.90083,0.14,6264,261
09/18/2024,3,32.89817,0.14,6265,261
09/18/2024,4,32.92198,0.14,6266,261
09/18/2024,5,32.94497,0.14,6267,261
09/18/2024,6,38.55159,0.14,6268,261
09/18/2024,7,40.83041,0.5,6269,261
09/18/2024,8,34.54562,0.75,6270,261
09/18/2024,9,11.62502,0.5,6271,261
09/18/2024,10,-1.49401,0.45,6272,261
09/18/2024,11,-2.54558,0.14,6273,261
