hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,t_hh,t_lh,t_hc,t_lc,mode,eff_com,eff_exp,power_milp,power_physical,power_mismatch
72,4,0,0,0.0,5.0,0,0,1007.9492458075746,765.0247212311953,309.59114887721114,240.6370882628032,idle,,,0,0,0
73,4,0,0,0.0,5.0,0,0,1007.8782658829938,764.9780337590721,309.5900047623234,240.64283955397693,idle,,,0,0,0
74,4,0,0,0.0,5.0,0,0,1007.8072930564055,764.9313509556962,309.5888607618472,240.64859027002154,idle,,,0,0,0
75,4,0,0,0.0,5.0,0,0,1007.7363273270998,764.8846728206006,309.587716875771,240.65434041099456,idle,,,0,0,0
76,4,0,0,0.0,5.0,0,0,1007.6653686943671,764.8379993533185,309.5865731040834,240.6600899769535,idle,,,0,0,0
77,4,0,0,0.0,5.0,0,0,1007.5944171574977,764.7913305533832,309.585429446773,240.6658389679558,idle,,,0,0,0
78,4,0,0,0.0,5.0,0,0,1007.523472715782,764.7446664203278,309.5842859038283,240.67158738405902,idle,,,0,0,0
79,4,0,0,0.0,5.0,0,0,1007.4525353685103,764.6980069536858,309.5831424752379,240.67733522532063,idle,,,0,0,0
80,4,0,0,0.0,5.0,0,0,1007.3816051149735,764.6513521529904,309.58199916099034,240.6830824917981,idle,,,0,0,0
81,4,0,0,0.0,5.0,0,0,1007.310681954462,764.6047020177751,309.58085596107423,240.68882918354893,idle,,,0,0,0
82,4,0,0,0.0,5.0,0,0,1007.2397658862666,764.5580565475733,309.5797128754781,240.6945753006306,idle,,,0,0,0
83,4,0,0,0.0,5.0,0,0,1007.168856909678,764.5114157419185,309.57856990419054,240.70032084310054,idle,,,0,0,0
84,4,0,0,0.0,5.0,0,0,1007.097955023987,764.4647796003443,309.5774270472001,240.70606581101626,idle,,,0,0,0
85,4,0,0,0.0,5.0,0,0,1007.0270602284845,764.4181481223842,309.57628430449535,240.71181020443518,idle,,,0,0,0
86,4,0,0,0.0,5.0,0,0,1006.9561725224617,764.3715213075719,309.5751416760649,240.71755402341475,idle,,,0,0,0
87,4,0,0,0.0,5.0,0,0,1006.8852919052094,764.3248991554411,309.5739991618973,240.72329726801243,idle,,,0,0,0
88,4,0,0,0.0,5.0,0,0,1006.8144183760189,764.2782816655256,309.5728567619811,240.72903993828564,idle,,,0,0,0
89,4,0,0,0.0,5.0,0,0,1006.7435519341814,764.231668837359,309.57171447630486,240.7347820342918,idle,,,0,0,0
90,4,0,0,0.0,5.0,0,0,1006.672692578988,764.1850606704753,309.5705723048572,240.7405235560884,idle,,,0,0,0
91,4,0,0,0.0,5.0,0,0,1006.60184030973,764.1384571644082,309.5694302476267,240.7462645037328,idle,,,0,0,0
92,4,0,0,0.0,5.0,0,0,1006.5309951256991,764.0918583186918,309.56828830460194,240.75200487728245,idle,,,0,0,0
93,4,0,0,0.0,5.0,0,0,1006.4601570261865,764.04526413286,309.56714647577144,240.75774467679474,idle,,,0,0,0
94,4,0,0,0.0,5.0,0,0,1006.3893260104838,763.9986746064467,309.56600476112385,240.76348390232707,idle,,,0,0,0
95,4,0,0,0.0,5.0,0,0,1006.3185020778828,763.952089738986,309.56486316064775,240.76922255393686,idle,,,0,0,0
96,5,0,0,0.0,5.0,0,0,1006.247685227675,763.9055095300122,309.56372167433165,240.77496063168147,idle,,,0,0,0
97,5,0,0,0.0,5.0,0,0,1006.1768754591523,763.8589339790592,309.5625803021642,240.7806981356183,idle,,,0,0,0
98,5,0,0,0.0,5.0,0,0,1006.1060727716064,763.8123630856613,309.561439044134,240.78643506580477,idle,,,0,0,0
99,5,0,0,0.0,5.0,0,0,1006.0352771643292,763.7657968493528,309.56029790022956,240.7921714222982,idle,,,0,0,0
100,5,0,0,0.0,5.0,0,0,1005.9644886366127,763.7192352696678,309.5591568704395,240.79790720515598,idle,,,0,0,0
101,5,0,0,0.0,5.0,0,0,1005.8937071877491,763.6726783461409,309.5580159547524,240.80364241443547,idle,,,0,0,0
102,5,0,0,0.0,5.0,0,0,1005.8229328170303,763.6261260783062,309.5568751531569,240.80937705019406,idle,,,0,0,0
103,5,0,0,0.0,5.0,0,0,1005.7521655237485,763.5795784656984,309.5557344656416,240.81511111248906,idle,,,0,0,0
104,5,0,0,0.0,5.0,0,0,1005.6814053071962,763.5330355078519,309.55459389219504,240.82084460137784,idle,,,0,0,0
105,5,0,0,0.0,5.0,0,0,1005.6106521666654,763.486497204301,309.55345343280584,240.82657751691772,idle,,,0,0,0
106,5,0,0,0.0,5.0,0,0,1005.5399061014488,763.4399635545806,309.55231308746255,240.83230985916606,idle,,,0,0,0
107,5,0,0,0.0,5.0,0,0,1005.4691671108386,763.3934345582251,309.5511728561538,240.83804162818015,idle,,,0,0,0
108,5,0,0,0.0,5.0,0,0,1005.3984351941275,763.3469102147692,309.5500327388682,240.84377282401735,idle,,,0,0,0
109,5,0,0,0.0,5.0,0,0,1005.3277103506081,763.3003905237478,309.5488927355943,240.84950344673496,idle,,,0,0,0
110,5,0,0,0.0,5.0,0,0,1005.256992579573,763.2538754846954,309.5477528463207,240.8552334963903,idle,,,0,0,0
111,5,0,0,0.0,5.0,0,0,1005.186281880315,763.207365097147,309.54661307103606,240.86096297304067,idle,,,0,0,0
112,5,0,0,0.0,5.0,0,0,1005.115578252127,763.1608593606372,309.54547340972897,240.86669187674337,idle,,,0,0,0
113,5,0,0,0.0,5.0,0,0,1005.0448816943017,763.1143582747012,309.544333862388,240.8724202075557,idle,,,0,0,0
114,5,0,0,0.0,5.0,0,0,1004.9741922061322,763.0678618388737,309.54319442900174,240.87814796553496,idle,,,0,0,0
115,5,0,0,0.0,5.0,0,0,1004.9035097869116,763.0213700526898,309.5420551095588,240.88387515073842,idle,,,0,0,0
116,5,0,0,0.0,5.0,0,0,1004.8328344359329,762.9748829156845,309.54091590404784,240.88960176322337,idle,,,0,0,0
117,5,0,0,0.0,5.0,0,0,1004.7621661524893,762.928400427393,309.53977681245743,240.89532780304705,idle,,,0,0,0
118,5,0,0,0.0,5.0,0,0,1004.691504935874,762.8819225873502,309.5386378347762,240.90105327026677,idle,,,0,0,0
119,5,0,0,0.0,5.0,0,0,1004.6208507853804,762.8354493950915,309.5374989709927,240.90677816493977,idle,,,0,0,0
120,6,0,0,0.0,5.0,0,0,1004.5502037003018,762.7889808501519,309.5363602210956,240.91250248712328,idle,,,0,0,0
121,6,0,0,0.0,5.0,0,0,1004.4795636799319,762.7425169520669,309.5352215850735,240.91822623687457,idle,,,0,0,0
122,6,0,0,0.0,5.0,0,0,1004.4089307235639,762.6960577003717,309.534083062915,240.9239494142509,idle,,,0,0,0
123,6,0,0,0.0,5.0,0,0,1004.3383048304916,762.6496030946017,309.5329446546087,240.9296720193095,idle,,,0,0,0
124,6,0,0,0.0,5.0,0,0,1004.2676860000086,762.6031531342923,309.5318063601432,240.93539405210757,idle,,,0,0,0
125,6,0,0,0.0,5.0,0,0,1004.1970742314086,762.5567078189788,309.5306681795072,240.94111551270237,idle,,,0,0,0
126,6,0,0,0.0,5.0,0,0,1004.1264695239854,762.5102671481969,309.5295301126892,240.9468364011511,idle,,,0,0,0
127,6,0,0,0.0,5.0,0,0,1004.055871877033,762.4638311214821,309.52839215967794,240.95255671751102,idle,,,0,0,0
128,6,0,0,0.0,5.0,0,0,1003.9852812898454,762.41739973837,309.52725432046196,240.9582764618393,idle,,,0,0,0
129,6,0,0,0.0,5.0,0,0,1003.9146977617164,762.3709729983962,309.5261165950299,240.9639956341931,idle,,,0,0,0
130,6,0,0,0.0,5.0,0,0,1003.8441212919403,762.3245509010964,309.52497898337043,240.96971423462972,idle,,,0,0,0
131,6,0,0,0.0,5.0,0,0,1003.7735518798111,762.2781334460062,309.5238414854721,240.97543226320627,idle,,,0,0,0
132,6,0,0,0.0,5.0,0,0,1003.702989524623,762.2317206326616,309.52270410132354,240.98114971997998,idle,,,0,0,0
133,6,0,0,0.0,5.0,0,0,1003.6324342256705,762.1853124605983,309.5215668309134,240.986866605008,idle,,,0,0,0
134,6,0,0,0.0,5.0,0,0,1003.561885982248,762.1389089293523,309.5204296742303,240.99258291834752,idle,,,0,0,0
135,6,0,0,0.0,5.0,0,0,1003.4913447936498,762.0925100384593,309.51929263126283,240.9982986600557,idle,,,0,0,0
136,6,0,0,0.0,5.0,0,0,1003.4208106591705,762.0461157874554,309.5181557019997,241.0040138301897,idle,,,0,0,0
137,6,0,0,0.0,5.0,0,0,1003.3502835781045,761.9997261758766,309.5170188864295,241.0097284288067,idle,,,0,0,0
138,6,0,0,0.0,5.0,0,0,1003.2797635497467,761.953341203259,309.5158821845409,241.01544245596384,idle,,,0,0,0
139,6,0,0,0.0,5.0,0,0,1003.2092505733917,761.9069608691386,309.5147455963224,241.02115591171827,idle,,,0,0,0
140,6,0,0,0.0,5.0,0,0,1003.1387446483344,761.8605851730517,309.5136091217628,241.0268687961271,idle,,,0,0,0
141,6,0,0,0.0,5.0,0,0,1003.0682457738695,761.8142141145344,309.5124727608506,241.0325811092475,idle,,,0,0,0
142,6,0,0,0.0,5.0,0,0,1002.9977539492921,761.7678476931229,309.51133651357446,241.0382928511366,idle,,,0,0,0
143,6,0,0,0.0,5.0,0,0,1002.9272691738972,761.7214859083535,309.5102003799231,241.0440040218515,idle,,,0,0,0
144,7,0,0,0.0,5.0,0,0,1002.8567914469799,761.6751287597627,309.5090643598851,241.0497146214493,idle,,,0,0,0
145,7,0,0,0.0,5.0,0,0,1002.7863207678352,761.6287762468868,309.5079284534491,241.05542464998717,idle,,,0,0,0
146,7,0,0,0.0,5.0,0,0,1002.7158571357584,761.5824283692621,309.50679266060376,241.06113410752218,idle,,,0,0,0
147,7,0,0,0.0,5.0,0,0,1002.6454005500448,761.5360851264252,309.50565698133767,241.06684299411145,idle,,,0,0,0
148,7,0,0,0.0,5.0,0,0,1002.5749510099897,761.4897465179125,309.50452141563954,241.07255130981207,idle,,,0,0,0
149,7,0,0,0.0,5.0,0,0,1002.5045085148887,761.4434125432607,309.503385963498,241.0782590546811,idle,,,0,0,0
150,7,0,0,0.0,5.0,0,0,1002.4340730640372,761.3970832020063,309.5022506249016,241.08396622877564,idle,,,0,0,0
151,7,0,0,0.0,5.0,0,0,1002.3636446567308,761.3507584936862,309.5011153998391,241.0896728321528,idle,,,0,0,0
152,7,0,0,0.0,5.0,0,0,1002.2932232922651,761.3044384178368,309.49998028829907,241.0953788648696,idle,,,0,0,0
153,7,0,0,0.0,5.0,0,0,1002.2228089699358,761.258122973995,309.49884529027025,241.1010843269831,idle,,,0,0,0
154,7,0,0,0.0,5.0,0,0,1002.1524016890388,761.2118121616976,309.4977104057412,241.10678921855043,idle,,,0,0,0
155,7,0,0,0.0,5.0,0,0,1002.08200144887,761.1655059804814,309.4965756347006,241.1124935396286,idle,,,0,0,0
156,7,0,0,0.0,5.0,0,0,1002.0116082487251,761.1192044298833,309.49544097713715,241.11819729027465,idle,,,0,0,0
157,7,0,0,0.0,5.0,0,0,1001.9412220879002,761.0729075094404,309.4943064330394,241.12390047054564,idle,,,0,0,0
158,7,0,0,0.0,5.0,0,0,1001.8708429656914,761.0266152186895,309.4931720023961,241.12960308049858,idle,,,0,0,0
159,7,0,0,0.0,5.0,0,0,1001.8004708813949,760.9803275571676,309.49203768519584,241.13530512019054,idle,,,0,0,0
160,7,0,0,0.0,5.0,0,0,1001.7301058343068,760.9340445244119,309.4909034814273,241.14100658967854,idle,,,0,0,0
161,7,0,0,0.0,5.0,0,0,1001.6597478237234,760.8877661199595,309.48976939107916,241.14670748901958,idle,,,0,0,0
162,7,0,0,0.0,5.0,0,0,1001.589396848941,760.8414923433475,309.48863541414005,241.1524078182707,idle,,,0,0,0
163,7,0,0,0.0,5.0,0,0,1001.5190529092561,760.7952231941131,309.4875015505986,241.1581075774889,idle,,,0,0,0
164,7,0,0,0.0,5.0,0,0,1001.4487160039652,760.7489586717936,309.48636780044353,241.16380676673117,idle,,,0,0,0
165,7,0,0,0.0,5.0,0,0,1001.3783861323648,760.7026987759265,309.48523416366345,241.1695053860545,idle,,,0,0,0
166,7,0,0,0.0,5.0,0,0,1001.3080632937515,760.6564435060488,309.48410064024705,241.17520343551593,idle,,,0,0,0
167,7,0,0,0.0,5.0,0,0,1001.2377474874221,760.6101928616982,309.482967230183,241.1809009151724,idle,,,0,0,0
