hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
22,1,2045.964392,0.0,0.0,0.0,0.0,169.129069680071,400.0,1254.616632,0.0,0.0,222.21869031992932,222.21869031992932
23,1,1855.257696,0.0,0.0,0.0,0.0,30.211971183442895,400.0,1210.3549639999999,0.0,0.0,214.69076081655726,214.69076081655726
24,2,1705.149016,0.0,0.0,0.0,0.0,90.1719820114397,400.0,1181.778638,0.0,0.0,33.198395988560264,33.198395988560264
25,2,1608.966147,0.0,0.0,0.0,0.0,80.62312500000007,400.0,1128.343022,0.0,-0.0,0.0,0.0
26,2,1553.062425,0.0,0.0,0.0,0.0,104.64875300000017,400.0,1048.413672,0.0,-0.0,0.0,0.0
27,2,1512.561456,0.0,0.0,0.0,0.0,90.4692217683338,400.0,990.417442,0.0,0.0,31.674792231666085,31.674792231666085
28,2,1510.509604,0.0,0.0,0.0,0.0,97.4322381995499,400.0,912.175254,0.0,0.0,100.9021118004503,100.9021118004503
29,2,1597.334365,0.0,0.0,0.0,0.0,103.9575,400.0,872.2896639999999,221.087201,-0.0,0.0,0.0
30,2,2210.643993,0.0,0.0,0.0,0.0,0.0,307.4739821895491,822.0174779999998,1298.7817353,217.62920248954887,0.0,-217.62920248954887
31,2,2708.809607,0.0,0.0,0.0,0.0,0.0,317.54526606147743,815.7960639999999,1932.1511583,356.68288136147703,0.0,-356.68288136147703
32,2,2868.327229,0.0,0.0,0.0,0.0,0.0,307.13796143003526,854.1262999999999,2063.831745,356.76877743003513,0.0,-356.76877743003513
33,2,2976.049454,0.0,0.0,0.0,0.0,0.0,399.9944693178272,859.952284,2041.1840429,325.0813422178273,0.0,-325.0813422178273
34,2,3004.401057,0.0,0.0,0.0,0.0,0.0,399.92901098715856,877.509326,1993.3983481999999,266.4356281871581,0.0,-266.4356281871581
35,2,2985.125664,0.0,0.0,0.0,0.0,0.07323041564859523,400.0,884.6534059999999,1914.1444514,213.74542381564817,0.0,-213.74542381564817
36,2,2888.02778,0.0,0.0,0.0,0.0,0.0,399.91261065513163,922.324594,1821.0633502,255.27277485513193,0.0,-255.27277485513193
37,2,2826.328963,0.0,0.0,0.0,0.0,0.0,399.9202311462536,980.6635299999999,1775.5328491999999,329.7876473462532,0.0,-329.7876473462532
38,2,2840.169721,0.0,0.0,0.0,0.0,0.0,337.5296422358597,1066.2606939999998,1794.0097519999997,357.6303672358592,0.0,-357.6303672358592
39,2,2597.284061,0.0,0.0,0.0,0.0,0.0,301.9790479397581,1064.204464,1588.6566509,357.5561018397583,0.0,-357.5561018397583
40,2,2695.417114,0.0,0.0,0.0,0.0,36.21603161066049,400.0,1223.0086860000001,815.1692613999999,0.0,221.0231349893393,221.0231349893393
41,2,2702.640187,67.32405048058371,0.0,0.0,0.0,600.0,400.0,1355.398262,39.0696814,0.0,240.8481931194163,240.8481931194163
