hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
36,2,2888.02778,0.0,0.0,0.0,0.0,0.21065979135912016,400.0,922.324594,1821.0633502,255.57082399135945,0.0,-255.57082399135945
37,2,2826.328963,0.0,0.0,0.0,0.0,0.0,355.4527288918372,980.6635299999999,1775.5328491999999,285.32014509183693,0.0,-285.32014509183693
38,2,2840.169721,0.0,0.0,0.0,0.0,0.0,265.22695309342686,1066.2606939999998,1794.0097519999997,285.3276780934262,0.0,-285.3276780934262
39,2,2597.284061,0.0,0.0,0.0,0.0,0.0,229.75816098997166,1064.204464,1588.6566509,285.33521488997167,0.0,-285.33521488997167
40,2,2695.417114,0.0,0.0,0.0,0.0,57.42964820065134,400.0,1223.0086860000001,815.1692613999999,0,199.80951839934852,199.80951839934852
41,2,2702.640187,108.39503690956332,0.0,0.0,0.0,600.0,400.0,1355.398262,39.0696814,0,199.77720669043669,199.77720669043669
42,2,2668.414927,71.25086092879747,0.0,0.0,0.0,600.0,400.0,1397.4191680000001,0.0,0,199.74489807120221,199.74489807120221
43,2,2649.707953,56.530480459208206,0.0,0.0,0.0,600.0,400.0,1393.46488,0.0,0,199.7125925407919,199.7125925407919
44,2,2566.10423,0.0,0.0,0.0,0.0,596.9747719000212,400.0,1369.449168,0.0,0,199.68029009997858,199.68029009997858
45,2,2379.699954,0.0,0.0,0.0,0.0,390.72590525199314,400.0,1389.3260579999999,0.0,0,199.64799074800712,199.64799074800712
46,2,2147.711292,0.0,0.0,0.0,0.0,191.1947055153583,400.0,1356.900892,0.0,0,199.61569448464155,199.61569448464155
47,2,1933.431405,0.0,0.0,0.0,0.0,37.708628405828506,400.0,1307.5777340000002,0.0,0,188.14504259417134,188.14504259417134
48,3,1735.996114,0.0,0.0,0.0,0.0,36.645398301718984,400.0,1249.423332,0.0,0,49.92738369828098,49.92738369828098
49,3,1625.856955,0.0,0.0,0.0,0.0,20.6425670000001,400.0,1205.2143879999999,0.0,0,0.0,0.0
50,3,1572.370167,0.0,0.0,0.0,0.0,37.38394100000005,400.0,1134.986226,0.0,0,0.0,0.0
