hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,t_hh,t_lh,t_hc,t_lc,mode,eff_com,eff_exp,power_milp,power_physical,power_mismatch
16,1,0,165.88115939255627,4281.6826772338345,7.518443694068882,0,0.6956833966037234,1012.7077678864644,768.3548136544598,308.11267531687184,240.03409710954128,dis,0.8699994640451055,0.9299932978809148,164.78652615352397,165.88115939255627,1.094633239032305
17,1,0,236.81603754684303,7099.065777709012,6.518443694068882,0,1.0,1012.6363121096757,768.1817757522265,308.90544556899044,240.03990869983033,dis,0.87,0.93,236.87,236.81603754684303,-0.053962453156970014
18,1,0,236.78401093072807,6849.545925824933,5.518443694068882,0,1.0,1012.5648634784648,768.0926100943906,309.15570701953874,240.04571970896038,dis,0.87,0.93,236.87,236.78401093072807,-0.08598906927193184
19,1,0,236.75198751727487,6918.27796647126,4.518443694068882,0,1.0,1012.493421992117,768.0232145463533,309.2781154488709,240.0515301369895,dis,0.87,0.93,236.87,236.75198751727487,-0.11801248272513476
20,1,0,236.719967306163,6870.149867414815,3.518443694068882,0,1.0,1012.4219876499177,767.9615495538897,309.35055079980197,240.05733998397582,dis,0.87,0.93,236.87,236.719967306163,-0.15003269383700513
21,1,0,236.68795029707195,6643.06543601527,2.518443694068882,0,1.0,1012.3505604511527,767.903703522878,309.39831589446146,240.06314924997744,dis,0.87,0.93,236.87,236.68795029707195,-0.18204970292805456
22,1,0,236.6559364896821,6282.485795843362,1.518443694068882,0,1.0,1012.2791403951076,767.8480242613878,309.43209821974955,240.06895793505245,dis,0.87,0.93,236.87,236.6559364896821,-0.2140635103179136
23,1,0,163.56367750635707,4222.133086437629,0.8318506136723606,0,0.6865930803965213,1012.207727481068,767.8414001543506,309.27054964365925,240.07476603925898,dis,0.8699992882501438,0.9299943443148041,162.633302953524,163.56367750635707,0.930374552833058
24,2,0,62.17912191074688,1592.526233491126,0.5741639440633514,0,0.2576866696090092,1012.1363217083199,767.8388018917873,309.08925511324884,240.08057356265508,dis,0.8699985747915638,0.9299647578083808,61.038241430286014,62.17912191074688,1.140880480460865
25,2,0,0.0,0.0,0.5741639440633514,0,0.0,1012.0649230761491,767.7918330115981,309.0881611877375,240.08638050529882,idle,,,0.0,0.0,0.0
26,2,0,0.0,0.0,0.5741639440633514,0,0.0,1011.9935315838414,767.744868828297,309.08706737161873,240.0921868672483,idle,,,0.0,0.0,0.0
27,2,0,0.0,0.0,0.5741639440633514,0,0.0,1011.9221472306831,767.6979093414141,309.0859736648816,240.0979926485616,idle,,,0.0,0.0,0.0
28,2,0,137.04452855841836,3510.107560809371,0.0,0,0.5741639440633513,1011.85077001596,767.6509545504799,309.0848800675151,240.10379784929674,dis,0.8699993367683192,0.9299912188260552,136.00221343028602,137.04452855841836,1.0423151281323442
29,2,0,0.0,0.0,0.0,0,0.0,1011.7793999389585,767.6040044550249,309.08378657950834,240.10960246951183,idle,,,0.0,0.0,0.0
30,2,109.98647758109458,0.0,-164.97971637164187,0.325277139742127,0.325277139742127,0.0,1017.0005202337617,767.5570590545793,309.0826932008504,238.47338071934573,char,0.8699684113432626,0.9299891900211714,-109.82921012676177,-109.98647758109458,-0.15726745433281053
31,2,337.8174415315212,0.0,-506.7261622972818,1.325277139742127,1.0,0.0,1013.4849126192133,767.5101183486738,309.08159993153026,239.68787868718852,char,0.869998288139548,0.929998270228002,-337.64810590080845,-337.8174415315212,-0.16933563071273738
32,2,337.8263214982684,0.0,-506.7394822474026,2.325277139742127,1.0,0.0,1012.9467142339439,767.4631823368389,309.0805067715371,239.8582879491411,char,0.8699981189905012,0.9299980793613173,-337.64810590080845,-337.8263214982684,-0.1782155974599391
33,2,325.2725092225521,0.0,-8132.416554488196,3.288074997093358,0.9627978573512309,0.0,1012.7616874855566,767.4162510186053,309.0794137208599,239.904626055269,char,0.8699975310438507,0.9299978413022097,-325.0868728999999,-325.2725092225521,-0.18563632255222728
34,2,266.6935907317476,0.0,-6667.8384147192255,4.077377861651088,0.7893028645577295,0.0,1012.831915772556,767.3693243935035,309.0783207794878,239.86093716277628,char,0.8699945686837436,0.9299971957197218,-266.5066171999997,-266.6935907317476,-0.18697353174786713
35,2,213.8650729117837,0.0,-5347.039324703102,4.710202952820918,0.6328250911698307,0.0,1012.9771372051632,767.3224024610641,309.0772279474098,239.7911044064804,char,0.8699890912724396,0.9299955832786885,-213.67219339999974,-213.8650729117837,-0.19287951178395701
36,2,255.56234883752975,0.0,-6389.575428746903,5.466493776720928,0.7562908239000102,0.0,1012.9946903328787,767.275485220818,309.0761352246151,239.76629252139256,char,0.8699928872593004,0.9299964104371621,-255.36016420000033,-255.56234883752975,-0.2021846375294274
37,2,330.08825501827994,0.0,-8252.935338458663,6.443449993667413,0.9769562169464844,0.0,1012.8236376661775,767.228572672296,309.0750426110926,239.80828791763554,char,0.86999686652336,0.9299969528348987,-329.86741619999975,-330.08825501827994,-0.22083881828018548
