hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
34,2,3004.401057,0.0,0.0,0.0,0.0,0.18697353174786713,400.0,877.509326,1993.3983481999999,266.6935907317476,0.0,-266.6935907317476
35,2,2985.125664,0.0,0.0,0.0,0.0,0.19287951178395701,400.0,884.6534059999999,1914.1444514,213.8650729117837,0.0,-213.8650729117837
36,2,2888.02778,0.0,0.0,0.0,0.0,0.2021846375294274,400.0,922.324594,1821.0633502,255.56234883752975,0.0,-255.56234883752975
37,2,2826.328963,0.0,0.0,0.0,0.0,0.22083881828018548,400.0,980.6635299999999,1775.5328491999999,330.08825501827994,0.0,-330.08825501827994
38,2,2840.169721,0.0,0.0,0.0,0.0,0.0,317.77895796088444,1066.2606939999998,1794.0097519999997,337.87968296088377,0.0,-337.87968296088377
39,2,2597.284061,0.0,0.0,0.0,0.0,0.0,282.3115310233411,1064.204464,1588.6566509,337.8885849233411,0.0,-337.8885849233411
40,2,2695.417114,0.0,0.0,0.0,0.0,58.69105317486438,400.0,1223.0086860000001,815.1692613999999,0,198.54811342513528,198.54811342513528
41,2,2702.640187,71.13956992187724,0.0,0.0,0.0,600.0,400.0,1355.398262,39.0696814,0,237.03267367812276,237.03267367812276
42,2,2668.414927,34.0013943140801,0.0,0.0,0.0,600.0,400.0,1397.4191680000001,0.0,0,236.99436468591958,236.99436468591958
43,2,2649.707953,19.287013642442332,0.0,0.0,0.0,600.0,400.0,1393.46488,0.0,0,236.95605935755776,236.95605935755776
44,2,2566.10423,0.0,0.0,0.0,0.0,559.7373043087721,400.0,1369.449168,0.0,0,236.91775769122768,236.91775769122768
45,2,2379.699954,0.0,0.0,0.0,0.0,353.4944363109289,400.0,1389.3260579999999,0.0,0,236.87945968907135,236.87945968907135
46,2,2147.711292,0.0,0.0,0.0,0.0,153.96923465099349,400.0,1356.900892,0.0,0,236.84116534900636,236.84116534900636
