mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
char,1.0,1.0040473646830825,-285.674953331613,1010.1889187138694,764.7512876923637,309.5715194404962,239.87859540314824,-7900.520809606355,0.8699764570609793,0.9299702469569536,4.0,0,0,0,5,Day_5,106,106,10
char,1.0,1.0040993505612759,-285.6825176944419,1010.1351955768889,764.7046275635945,309.57037728855215,239.87923370614544,-8070.079746490027,0.8699758530630678,0.9299694829891558,5.0,0,0,0,5,Day_5,107,107,11
char,1.0,1.0041513362957564,-285.6900837757007,1010.0814776080505,764.6579721008382,309.5692352508233,239.87987229509932,-8518.772626743112,0.8699752415326941,0.9299687094775848,6.0,0,0,0,5,Day_5,108,108,12
idle,0.0,0.0,0.0,1010.0102844602897,764.6113213036281,309.5680933272982,239.88569930786983,0.0,,,6.0,0,0,0,5,Day_5,109,109,13
idle,0.0,0.0,0.0,1009.9390984318436,764.5646751714977,309.56695151796544,239.89152573793905,0.0,,,6.0,0,0,0,5,Day_5,110,110,14
idle,0.0,0.0,0.0,1009.8679195220004,764.5180337039806,309.5658098228136,239.89735158536527,0.0,,,6.0,0,0,0,5,Day_5,111,111,15
dis,1.0,1.0006111722672126,199.18448278887203,1009.7967477300482,764.731108411957,309.56832246123184,239.90317685020676,9509.539275564961,0.8699903935575084,0.9299987142099804,5.0,0,0,0,5,Day_5,112,112,16
dis,1.0,1.0005791531235204,199.1522198855808,1009.7255830552751,764.8578222077235,309.56973661915487,239.90900153252176,11526.263327040799,0.869990277729046,0.9299987394007468,4.0,0,0,0,5,Day_5,113,113,17
dis,1.0,1.000547135751408,199.1199600808378,1009.6544254969696,764.935188946194,309.57052309788276,239.91482563236852,14165.742420080944,0.8699901611015805,0.9299987607349964,3.0,0,0,0,5,Day_5,114,114,18
dis,1.0,1.0005151201455176,199.0877033736556,1009.5832750544199,764.9817155547452,309.57091729805666,239.92064914980529,11601.105262228397,0.8699900436760007,0.9299987782124292,2.0,0,0,0,5,Day_5,115,115,19
dis,1.0,1.00048310631437,199.0554497651534,1009.5121317269145,765.007683659231,309.57104999781717,239.92647208489032,10215.611275791072,0.8699899254522948,0.9299987918326357,1.0,0,0,0,5,Day_5,116,116,20
dis,1.0,1.000451094242213,199.02319925276288,1009.4409955137418,764.9609978908651,309.56990789281735,239.93229443768186,9860.096897820044,0.8699898064320413,0.9299988015953812,0.0,0,0,0,5,Day_5,117,117,21
idle,0.0,0.0,0.0,1009.3698664141904,764.914316791076,309.5687659020281,239.9381162082381,0.0,,,0.0,0,0,0,5,Day_5,118,118,22
idle,0.0,0.0,0.0,1009.298744427549,764.8676403593969,309.56762402543785,239.94393739661732,0.0,,,0.0,0,0,0,5,Day_5,119,119,23
idle,0.0,0.0,0.0,1009.2276295531062,764.8209685953609,309.5664822630353,239.94975800287767,0.0,,,0.0,0,0,0,6,Day_6,120,120,0
idle,0.0,0.0,0.0,1009.1565217901509,764.7743014985014,309.565340614809,239.9555780270774,0.0,,,0.0,0,0,0,6,Day_6,121,121,1
idle,0.0,0.0,0.0,1009.0854211379719,764.7276390683516,309.56419908074747,239.96139746927471,0.0,,,0.0,0,0,0,6,Day_6,122,122,2
idle,0.0,0.0,0.0,1009.0143275958582,764.6809813044447,309.5630576608394,239.96721632952782,0.0,,,0.0,0,0,0,6,Day_6,123,123,3
idle,0.0,0.0,0.0,1008.9432411630986,764.6343282063142,309.56191635507327,239.97303460789487,0.0,,,0.0,0,0,0,6,Day_6,124,124,4
idle,0.0,0.0,0.0,1008.8721618389823,764.5876797734935,309.56077516343777,239.9788523044341,0.0,,,0.0,0,0,0,6,Day_6,125,125,5
char,1.0,1.0042814757948761,-285.7090860934331,1010.0777967361411,764.5410360055162,309.5596340859214,239.84190484320408,-7798.518074736945,0.8699736610422624,0.9299667312528926,1.0,0,0,0,6,Day_6,126,126,6
char,1.0,1.0043334609397312,-285.71665821679136,1010.0240895827258,764.4943969019156,309.5584931225128,239.84254776406792,-5735.550483375006,0.8699730229651347,0.9299659243501341,2.0,0,0,0,6,Day_6,127,127,7
char,1.0,1.0043854459216248,-285.72423204089165,1009.970387590977,764.4477624622253,309.55735227320054,239.8431909707324,-5942.855447761156,0.8699723773773369,0.9299651079284954,3.0,0,0,0,6,Day_6,128,128,8
char,1.0,1.0044374307360262,-285.7318075616301,1009.9166907596713,764.4011326859791,309.5562115379732,239.8438344632031,-6554.36478852125,0.8699717242837592,0.9299642819935536,4.0,0,0,0,6,Day_6,129,129,9
char,1.0,1.0044894153786545,-285.73938477505044,1009.8629990876105,764.3545075727104,309.5550709168194,239.84447824148148,-6876.449734728586,0.8699710636892819,0.929963446550878,5.0,0,0,0,6,Day_6,130,130,10
char,1.0,1.0045413998457535,-285.7469636775236,1009.8093125736438,764.3078871219532,309.5539304097277,239.8451223055612,-7337.896303149702,0.8699703955987405,0.9299626016060055,6.0,0,0,0,6,Day_6,131,131,11
char,1.0,1.0045933841319863,-285.75454426440024,1009.7556312165182,764.261271333241,309.5527900166867,239.84576665545143,-7299.451240871086,0.8699697200171812,0.9299617471646198,7.0,0,0,0,6,Day_6,132,132,12
idle,0.0,0.0,0.0,1009.6844706533965,764.2146602061076,309.551649737685,239.8515970787859,0.0,,,7.0,0,0,0,6,Day_6,133,133,13
idle,0.0,0.0,0.0,1009.6133172063311,764.168053740087,309.55050957271123,239.85742691907802,0.0,,,7.0,0,0,0,6,Day_6,134,134,14
