hour,day,total_cost,marginal_price,cost_NGCC 1,cost_NGCC 2,cost_NGCT 1,cost_NGCT 2,cost_Coal,cost_Hydro,cost_Wind,cost_PV
95,4,35596.623811448044,42.642226556986635,18196.623811448044,0,0,0,16800.0,600.0,0.0,0
96,5,31749.909973926595,42.09749303328073,14349.909973926597,0,0,0,16800.0,600.0,0.0,0
97,5,32780.969630221894,42.244190554,15380.969630221898,0,0,0,16800.0,600.0,0.0,0
98,5,29792.739411349514,41.817614386,12392.739411349514,0,0,0,16800.0,600.0,0.0,0
99,5,26565.870912777697,41.352030796,9165.870912777697,0,0,0,16800.0,600.0,0.0,0
100,5,22958.94053703526,40.825326532,5558.94053703526,0,0,0,16800.0,600.0,0.0,0
101,5,15282.644419490758,30.309287164,0,0,0,0,14682.644419490758,600.0,0.0,0.0
102,5,8985.072007644278,28.15495409608912,0,0,0,0,8385.072007644278,600.0,0.0,0.0
103,5,6061.861792345542,27.096812282017805,0,0,0,0,5461.861792345542,600.0,0.0,0.0
104,5,7518.168248628844,27.629031198588503,0,0,0,0,6918.168248628844,600.0,0.0,0.0
105,5,8030.964980031447,27.81401264831504,0,0,0,0,7430.964980031447,600.0,0.0,0.0
106,5,7384.985378808511,27.580785115296667,0,0,0,0,6784.985378808511,600.0,0.0,0.0
107,5,8465.416945952184,27.969775453497007,0,0,0,0,7865.416945952184,600.0,0.0,0.0
108,5,8853.581443294554,28.10821283656951,0,0,0,0,8253.581443294554,600.0,0.0,0.0
109,5,8871.797274885823,28.114692697906488,0,0,0,0,8271.797274885823,600.0,0.0,0.0
110,5,8934.270416935635,28.136904739837902,0,0,0,0,8334.270416935635,600.0,0.0,0.0
111,5,8662.533244244074,28.040161641561223,0,0,0,0,8062.533244244073,600.0,0.0,0.0
112,5,33996.10082087318,42.416426179612046,16596.100820873176,0,0,0,16800.0,600.0,0.0,0.0
113,5,78920.85192068045,73.11509446354842,20750.0,18480.0,22290.851920680445,0,16800.0,600.0,0.0,0.0
114,5,77164.22332332084,72.87444316402299,20750.0,18480.0,20534.223323320843,0,16800.0,600.0,0.0,0
115,5,77164.1479341697,72.8744328189482,20750.0,18480.0,20534.147934169698,0,16800.0,600.0,0.0,0
116,5,68291.58165175683,71.6465744682545,20750.0,18480.0,11661.581651756827,0,16800.0,600.0,0.0,0
117,5,55249.70016038946,47.224955287693746,20750.0,17099.70016038946,0,0,16800.0,600.0,0.0,0
118,5,44037.92329494631,45.77832543397973,20750.0,5887.92329494631,0,0,16800.0,600.0,0.0,0
119,5,32143.326096976147,42.153527885145195,14743.326096976145,0,0,0,16800.0,600.0,0.0,0
120,6,28089.517170066098,41.57251743689325,10689.517170066098,0,0,0,16800.0,600.0,0.0,0
121,6,25020.860777220627,41.127245584,7620.860777220627,0,0,0,16800.0,600.0,0.0,0
122,6,20809.106291610566,40.508138386,3409.106291610564,0,0,0,16800.0,600.0,0.0,0
123,6,16716.715330075058,30.778796380000003,0,0,0,0,16116.71533007506,600.0,0.0,0
124,6,15795.050449037903,30.477877369999998,0,0,0,0,15195.050449037903,600.0,0.0,0
125,6,10659.578463842132,28.743548307,0,0,0,0,10059.578463842132,600.0,0.0,0.0
126,6,9063.154026193783,28.182673409807588,0,0,0,0,8463.154026193783,600.0,0.0,0.0
127,6,6664.807598904459,27.318421476690215,0,0,0,0,6064.807598904459,600.0,0.0,0.0
128,6,5476.270228114415,26.87983267362891,0,0,0,0,4876.270228114415,600.0,0.0,0.0
129,6,8250.865508658291,27.892961660124328,0,0,0,0,7650.86550865829,600.0,0.0,0.0
130,6,8917.181923524331,28.130830746184632,0,0,0,0,8317.181923524331,600.0,0.0,0.0
131,6,9007.582227340818,28.162948079823185,0,0,0,0,8407.582227340818,600.0,0.0,0.0
132,6,9009.36969865623,28.16358276166448,0,0,0,0,8409.36969865623,600.0,0.0,0.0
133,6,9013.201265222726,28.164943197252406,0,0,0,0,8413.201265222726,600.0,0.0,0.0
134,6,9017.022420038376,28.166299870603655,0,0,0,0,8417.022420038376,600.0,0.0,0.0
135,6,9154.056791156874,28.214909814194648,0,0,0,0,8554.056791156874,600.0,0.0,0.0
136,6,34895.90572492808,42.54351735222579,17495.90572492808,0,0,0,16800.0,600.0,0.0,0.0
137,6,81657.62147004415,73.48845099334237,20750.0,18480.0,25027.621470044145,0,16800.0,600.0,0.0,0.0
138,6,76959.14748781394,72.84629674702948,20750.0,18480.0,20329.147487813938,0,16800.0,600.0,0.0,0
139,6,76340.96358292049,72.76138585581235,20750.0,18480.0,19710.963582920493,0,16800.0,600.0,0.0,0
140,6,71268.53434058836,72.06088180706483,20750.0,18480.0,14638.534340588361,0,16800.0,600.0,0.0,0
141,6,58701.17891240972,70.2952599984394,20750.0,18480.0,2071.17891240972,0,16800.0,600.0,0.0,0
142,6,48888.16211972157,46.40967512746301,20750.0,10738.162119721574,0,0,16800.0,600.0,0.0,0
143,6,37820.120851324165,42.95394568856149,20420.120851324165,0,0,0,16800.0,600.0,0.0,0
144,7,33648.531130529365,42.367232309490696,16248.531130529364,0,0,0,16800.0,600.0,0.0,0
145,7,31023.597211853295,41.993846770000005,13623.597211853294,0,0,0,16800.0,600.0,0.0,0
146,7,26732.310794165805,41.376173452,9332.310794165805,0,0,0,16800.0,600.0,0.0,0
147,7,24045.769447356837,40.98474391,6645.769447356838,0,0,0,16800.0,600.0,0.0,0
148,7,22074.996546528873,40.695208054,4674.996546528873,0,0,0,16800.0,600.0,0.0,0
149,7,12487.597709648473,29.372639551,0,0,0,0,11887.597709648473,600.0,0.0,0.0
150,7,1830.357204003408,25.487391865,0,0,0,0,1230.357204003408,600.0,0.0,0.0
151,7,500.12316232647106,1.5,0,0,0,0,0.0,500.12316232647106,0.0,0.0
152,7,480.3858797691713,1.5,0,0,0,0,0.0,480.3858797691713,0.0,0.0
153,7,687.9501459155815,25.03515534040705,0,0,0,0,87.95014591558147,600.0,0.0,0.0
154,7,848.3518504929611,25.09914414895176,0,0,0,0,248.35185049296112,600.0,0.0,0.0
155,7,599.9662752129182,1.5,0,0,0,0,0.0,599.9662752129182,0.0,0.0
156,7,789.022200106936,25.075494890473024,0,0,0,0,189.02220010693603,600.0,0.0,0.0
157,7,599.9398796853393,1.5,0,0,0,0,0.0,599.9398796853393,0.0,0.0
158,7,599.9877324898641,1.5,0,0,0,0,0.0,599.9877324898641,0.0,0.0
159,7,584.0302697250161,1.5,0,0,0,0,0.0,584.0302697250161,0.0,0.0
160,7,21927.06050022118,40.673390884,4527.060500221183,0,0,0,16800.0,600.0,0.0,0.0
161,7,49024.56384141935,46.427306255015836,20750.0,10874.563841419353,0,0,16800.0,600.0,0.0,0.0
162,7,43541.39396638045,45.71320080235648,20750.0,5391.393966380449,0,0,16800.0,600.0,0.0,0
163,7,44388.24119022676,45.824217334098805,20750.0,6238.241190226766,0,0,16800.0,600.0,0.0,0
164,7,40828.28391910485,45.35569872716391,20750.0,2678.2839191048497,0,0,16800.0,600.0,0.0,0
165,7,37021.029372374716,45.02169356114538,19458.288446234765,162.7409261399478,0,0,16800.0,600.0,0.0,0
166,7,32341.80445298842,42.1817692070385,14941.804452988421,0,0,0,16800.0,600.0,0.0,0
167,7,25147.851477208424,41.14576792,7747.851477208423,0,0,0,16800.0,600.0,0.0,0
