hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,charge_beta_norm,discharge_beta_norm,eff_ex,eff_com,eff_exp,t_hh,t_lh,t_hc,t_lc,n,p_exp,alpha_com,alpha_exp,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error
13,1,244.22518899751893,0.0,-6105.757369715395,7.212366314663115,0.8377608742612306,0.0,1.016689955727047,0.0,0.860539717805659,0.8697500457410681,0.9294296479596562,1012.8669438577731,761.6655772222686,309.9670807869149,239.95559174780774,1.0,0.8307484821036734,1.680656152423765,-1.0025958958809262,0,0,0,0,0,0
14,1,338.0280597585935,0.0,-507.04208963789023,8.357954963313606,1.145588648650491,0.0,1.0143893961444186,0.0,0.8493135804732471,0.8611544286255703,0.9205519165783184,1012.8342765848419,761.6192256645463,309.9658990788362,239.9543303665463,1.0,1.0,7.175539271133702,10.419846576849332,0,0,0,0,0,0
15,1,358.04152213012696,0.0,-537.0622831951905,9.55713223216468,1.1991772688510742,0.0,1.01094704731375,0.0,0.836954375621824,0.8549498769284459,0.8939182615076956,1012.8024288981051,761.5728787419798,309.9647174889283,240.22095136990305,0.99900499360082,1.0,9.612275152947225,20.69385576868483,0,0,0,0,0,0
16,1,0.0,214.7868358348908,5438.9807163083715,8.509990252313779,0,1.0471419798509,0,1.061502895671463,0.7950196560782653,0.8582862086164345,0.9246938253583744,1012.7309636552153,756.3195740166719,310.4492034688973,240.22674427476608,1.0,1.0,11.59758759907037,-2.0225286464499383,0,0,0,0,0,0
17,1,0.0,227.75424299458592,6848.057781703685,7.391126827873256,0,1.1188634244405227,0,1.0670215044610882,0.7860346450334156,0.8486548557453877,0.9238883310126351,1012.6595055588498,754.7835799407768,310.79158798035934,240.23253660033862,1.0,1.0,15.278156654130747,1.8952285216204885,0,0,0,0,0,0
18,1,0.0,226.13968071021625,6565.704176423194,6.281800054838035,0,1.1093267730352214,0,1.0659170788752574,0.7878763573248213,0.8504029310450055,0.9242057420147437,1012.5880546082939,754.2032823255786,310.9004050347321,240.2383283466786,1.0,1.0,14.702317641785555,1.3659480896567686,0,0,0,0,0,0
19,1,0.0,226.64883232187643,6645.946030090551,5.169229882460648,0,1.1125701723773866,0,1.066272784151507,0.787380054018459,0.84981271675073,0.9241079717612636,1012.516610802833,753.8512983990161,310.96597823214313,240.24411951384394,1.0,1.0,14.900393958683766,1.5396114094689892,0,0,0,0,0,0
20,1,0.0,226.28524577076615,6590.922838265026,4.058636661906421,0,1.1105932205542275,0,1.066114939197635,0.7877816289625439,0.8501328713903981,0.9241620825275821,1012.4451741417528,753.6182004338913,311.0034374514884,240.24991010189257,1.0,1.0,14.796625892832417,1.4203490295741084,0,0,0,0,0,0
21,1,0.0,224.57689116459215,6330.345807277964,2.957920810808158,0,1.1007158510982629,0,1.0657342718033405,0.7892038027444432,0.8515599829729421,0.9243337207661304,1012.3737446243385,753.4548190673111,311.0161893237201,240.2557001108824,1.0,1.0,14.330466419002041,0.8186104453880425,0,0,0,0,0,0
22,1,0.0,221.45754397273367,5912.673299182297,1.8746256824277032,0,1.0832951283804548,0,1.064292996570952,0.7917365904010341,0.854119590296471,0.9246109537404142,1012.302322249876,753.3647705395073,311.0053629781568,240.26148954087134,1.0,1.0,13.406216305055807,-0.14423850256249793,0,0,0,0,0,0
23,1,0.0,212.83790438196002,5389.193716694925,0.8360886210076086,0,1.0385370614200946,0,1.0607123226187913,0.7963577580893769,0.8589924243880201,0.9246396245802585,1012.230907017651,753.3930507314984,310.9568680082245,240.26727839191727,1.0,1.0,11.211366278422187,-2.4783993993701294,0,0,0,0,0,0
24,2,0.0,35.82116269855449,926.8902143183008,0.6652888185221582,0,0.17079980248545043,0,1.0824924391750994,0.8033290487649427,0.8531014532327035,0.920308785011854,1012.1594989269493,753.3323648342512,310.80910134441064,240.2730666640781,1.0,0.1660162200159006,13.717660445496783,-3.841037363869024,0,0,0,0,0,0
25,2,-0.0,0.0,0.0,0.6652888185221582,0,0.0,0,0.0,0.9998471928049832,,,1012.0880979770566,753.2868465977677,310.80783543427617,240.27885435741172,,,,,0,0,0,0,0,0
26,2,-0.0,0.0,0.0,0.6652888185221582,0,0.0,0,0.0,0.999847190660591,,,1012.0167041672589,753.241332913108,310.80656965073274,240.284641471976,,,,,0,0,0,0,0,0
27,2,0.0,34.51380265245504,893.0895845197969,0.5006798989971426,0,0.16460891952501555,0,1.0835879839952183,0.8027380264088811,0.8526092553127641,0.9200738116681071,1011.9453174968422,753.1783215850166,310.6674814406363,240.2904280078288,1.0,0.1599421718242034,13.916136290299441,-3.892587564705895,0,0,0,0,0,0
28,2,0.0,103.61826622471305,2688.5998194617255,8.947146054705257e-06,0,0.5006709518510879,0,1.0808001261863491,0.7969910449812055,0.8527901643900176,0.9204943749937663,1011.8739379650925,753.0547559003438,310.47832669166087,240.29621396502804,1.0,0.4863623109463044,13.845078745646667,-4.035045185546284,0,0,0,0,0,0
29,2,-0.0,0.0,0.0,8.947146054705257e-06,0,0.0,0,0.0,0.9998461288157573,,,1011.802565571296,753.0092654247538,310.4770938589917,240.30199934363156,,,,,0,0,0,0,0,0
30,2,217.95467076378185,0.0,-326.93200614567274,0.7249600147207247,0.72495106757467,0.0,1.039472573548361,0.0,0.8628895684599093,0.8686201980594418,0.9270242535940191,1013.0785797157982,752.9637794982114,310.47586114960575,236.64208221025487,1.0,0.7118666403302925,3.951140708422529,-2.2931585702813244,0,0,0,0,0,0
31,2,356.7071643176874,0.0,-535.0607464765311,1.8937976758523272,1.1688376611316025,0.0,1.0357238577637564,0.0,0.8488504554624642,0.8564281231850273,0.9205514776945829,1013.0511442493787,752.9182981202615,310.4746285634908,237.63402596377148,1.0,1.0,9.830430295571091,9.379688108899286,0,0,0,0,0,0
32,2,356.9642442715392,0.0,-535.4463664073088,3.063213631457287,1.16941595560496,0.0,1.035801388783202,0.0,0.8486835180076253,0.8563463545345248,0.9204692157550338,1013.0173782159487,752.8728212904495,310.47339610063443,237.87125056281417,1.0,1.0,9.860837932802768,9.426610652900896,0,0,0,0,0,0
33,2,325.06774291636714,0.0,-487.6016143745507,4.135092696784401,1.071879065327114,0.0,1.0414497056993464,0.0,0.8554333721819947,0.8656217981177534,0.9271464825455441,1012.9802705025933,752.8273490083204,310.4721637610244,237.69136628591735,1.0,1.0,6.399427819982995,0.9340232021350339,0,0,0,0,0,0
34,2,266.5408097039204,0.0,-6663.611379574818,5.0177636342491585,0.8826709374647572,0.0,1.0414989800049717,0.0,0.8591793465162522,0.8683022531921368,0.9267421826379275,1012.9386500543142,752.7818812734196,310.47093154464824,237.5435870893043,1.0,0.8663394089988783,4.388229509597674,-2.3754895791242596,0,0,0,0,0,0
35,2,213.48513048140308,0.0,-320.2276957221046,5.72749189881443,0.7097282645652712,0.0,1.0399503530309613,0.0,0.8623207916644833,0.8686031229609263,0.9269536010307446,1012.8933692771337,752.7364180852923,310.46969945149374,237.4288251179252,1.0,0.6968109217702461,3.9747591834053297,-2.3258387079064384,0,0,0,0,0,0
36,2,255.115311423004,0.0,-382.672967134506,6.572743442761789,0.8452515439473589,0.0,1.0413953601581192,0.0,0.8596428902572841,0.8683491591642751,0.9267546288464048,1012.8548998727131,752.6909594434837,310.4684674815486,237.34748419342395,1.0,0.8295918336870756,4.326504009894316,-2.3769426461644834,0,0,0,0,0,0
37,2,329.8949981779717,0.0,-8247.46594601502,7.6591057909930065,1.086362348231218,0.0,1.0413579163743276,0.0,0.8544199808818886,0.8645344713425753,0.9269245565628246,1012.8252947153126,752.6455053475394,310.46723563480043,237.33297006876617,1.0,1.0,6.935135355909194,1.9157307408900373,0,0,0,0,0,0
38,2,357.6383235217959,0.0,-536.4574852826938,8.829465118254895,1.1703593272618888,0.0,1.0364501263364523,0.0,0.8480317876047969,0.8561538967225641,0.9204065130072419,1012.7968592789005,752.6000557970046,310.46600391123695,237.4529273162828,1.0,1.0,9.949789945120614,9.420509241654004,0,0,0,0,0,0
39,2,357.75705411104894,0.0,-536.6355811665734,10.0,1.1705348817451053,0.0,1.0365568026096648,0.0,0.8479035478460493,0.856119515973045,0.9203928024134326,1012.766723476184,752.5546107914249,310.46477231084583,237.54463604993512,1.0,1.0,9.965272666609248,9.421600467376154,0,0,0,0,0,0
40,2,0.0,221.0672987254833,5606.646639345828,8.933497215814981,0,1.0665027841850199,0,1.0866420388278049,0.7879347654189389,0.8525230047868134,0.9201573380934699,1012.6952618038364,749.3963377439629,310.6618531282157,237.55069658633013,1.0,1.0,14.163699201813063,-2.69763439142546,0,0,0,0,0,0
41,2,0.0,240.97417248768505,9736.124896981755,7.745067723184436,0,1.1884294926305459,0,1.0898749037587216,0.7699071283685699,0.8323118702234059,0.9184343372502382,1012.623807277656,749.0526849188575,311.18989412793155,237.55675651667153,1.0,1.0,19.78598325948411,4.535650012387624,0,0,0,0,0,0
42,2,0.0,240.83913452139046,9677.142752892707,6.557393579661991,0,1.1876741435224454,0,1.08998393740333,0.7700780900919303,0.8324001578339831,0.9184663872873264,1012.5523598969282,748.9018954308902,311.35131184261905,237.56281584101987,1.0,1.0,19.772147230096838,4.464146354431371,0,0,0,0,0,0
43,2,0.0,240.6906252467253,9650.084980112128,5.370674059810217,0,1.1867195198517735,0,1.0896372723028493,0.7705513790781616,0.8327545191479729,0.9185633952466882,1012.4809196609385,748.8174979577875,311.4258398260907,237.56887455943578,1.0,1.0,19.67785109331739,4.423817188836519,0,0,0,0,0,0
44,2,0.0,232.96767247755372,7137.401203358768,4.2370538177362995,0,1.1336202420739179,0,1.087691547405917,0.7809558293807217,0.8434747237568394,0.9204665899144958,1012.4094865689724,748.7602872862772,311.37461577821165,237.57493267197987,1.0,1.0,16.97017585497138,1.0605544850158388,0,0,0,0,0,0
45,2,0.0,229.60605066729943,6568.4960684284115,3.1232165220660093,0,1.1138372956702902,0,1.087759367113806,0.7835255706877158,0.8464466605645796,0.9205451037106702,1012.3380606203154,748.7075904117493,311.31599935676604,237.58099017871268,1.0,1.0,16.15722834738842,-0.1438018334799871,0,0,0,0,0,0
46,2,0.0,225.46486052073885,6009.41760298265,2.032363333192957,0,1.0908531888730526,0,1.087467057419216,0.7861336866411434,0.8495690841021173,0.9204294744299447,1012.2666418142534,748.6766831143509,311.2504586111056,237.58704707969483,1.0,1.0,15.209773000884352,-1.4464897012488898,0,0,0,0,0,0
47,2,0.0,193.2156044430766,4893.451948653407,1.101514778380935,0,0.930848554812022,0,1.0870123171837203,0.7915325056023326,0.8547224535524385,0.9190581143487705,1012.1952301500719,748.7296056613988,311.10053789170365,237.59310337498687,1.0,0.9010159447025071,13.122084624309904,-4.437987578130677,0,0,0,0,0,0
48,3,0.0,29.718714316390095,759.8641558618914,0.9614366862549484,0,0.14007809212598651,0,1.1022857866403726,0.7989780895771034,0.8502940477440529,0.9158291598308016,1012.1238256270569,748.6924886509564,310.96361021934496,237.5991590646494,1.0,0.1352615117745484,14.891494028140917,-4.644069921224769,0,0,0,0,0,0
49,3,-0.0,0.0,0.0,0.9614366862549484,0,0.0,0,0.0,0.9998474301758166,,,1012.0524282444942,748.6474344020913,310.962328858323,237.60521414874296,,,,,0,0,0,0,0,0
50,3,-0.0,0.0,0.0,0.9614366862549484,0,0.0,0,0.0,0.9998474280508673,,,1011.9810380016697,748.6023846586511,310.9610476254372,237.6112686273281,,,,,0,0,0,0,0,0
51,3,-0.0,0.0,0.0,0.9614366862549484,0,0.0,0,0.0,0.9998474259259085,,,1011.9096548978696,748.5573394201853,310.95976652067463,237.61732250046538,,,,,0,0,0,0,0,0
52,3,0.0,94.66933979332394,2429.2684644080086,0.5093075159076181,0,0.4521291703473303,0,1.0974031293012285,0.7957426994953439,0.8513728663621594,0.9167853015093997,1011.8382789323798,748.5290066228963,310.73611325741535,237.62337576821534,1.0,0.43685951661712247,14.478502304058516,-4.727180649964261,0,0,0,0,0,0
53,3,0.0,106.73110362252905,2738.941219882381,0.0,0,0.5093075159076181,0,1.0754483804320953,0.7968536466251032,0.8597557556993176,0.9216146670926681,1011.7669101044866,748.483968722234,310.7348546460896,237.62942843063854,1.0,0.4952701153433894,10.753415011599632,-3.765211724333838,0,0,0,0,0,0
54,3,318.3727337056564,0.0,-477.5591005584846,1.0336198513218444,1.0336198513218444,0.0,1.0544992058924738,0.0,0.8561391795040713,0.8665998208945277,0.9248648402279975,1013.0785701818122,748.4389353253617,310.733596160625,236.22523339260712,1.0,1.0,6.211158478984258,-2.473539969961962,0,0,0,0,0,0
55,3,230.1185185940054,0.0,-345.1777778910081,1.785221837181073,0.7516019858592287,0.0,1.0523409019649022,0.0,0.861297817994081,0.86750954690091,0.9249706231131039,1013.0371655063775,748.3939064318292,310.7323378010089,236.061010284843,1.0,0.7345046599496435,5.311091962560344,-2.971869004609573,0,0,0,0,0,0
56,3,-0.0,0.0,0.0,1.785221837181073,0,0.0,0,0.0,0.9998485096865726,,,1012.9656767898268,748.348882041186,310.7310795672288,236.06721918381453,,,,,0,0,0,0,0,0
57,3,364.0294989530435,0.0,-546.0442484295653,2.9579993344510087,1.1727774972699356,0.0,1.0475777853254191,0.0,0.8486141389909051,0.8545253206896214,0.9210507670800606,1012.9672614024985,748.3038621529819,310.72982145927205,236.5556009496218,1.0,1.0,10.881966787959986,8.011565950487412,0,0,0,0,0,0
58,3,364.2484594268343,0.0,-546.3726891402514,4.131239872695566,1.1732405382445579,0.0,1.0476601954249913,0.0,0.8484592342293336,0.8544534475627152,0.9209973798878289,1012.9476664693317,748.2588467667666,310.7285634771261,236.76781959391485,1.0,1.0,10.907321578913521,8.042837751553655,0,0,0,0,0,0
59,3,364.33161646439913,0.0,-546.4974246965987,5.304549744993778,1.1733098722982118,0.0,1.0477737336226813,0.0,0.8483393464284897,0.8544301473798297,0.9209943111312533,1012.9209329033943,748.2138358820899,310.7273056207784,236.8855515629899,1.0,1.0,10.918595057254654,8.03325847581603,0,0,0,0,0,0
60,3,364.4279064675204,0.0,-546.6418597012806,6.4779669711866665,1.173417226192888,0.0,1.047884241319603,0.0,0.8482144683240581,0.8544021266998317,0.920986330002956,1012.8909421135413,748.1688294985017,310.7260478902163,236.96025362271163,1.0,1.0,10.931223491224596,8.02763406493558,0,0,0,0,0,0
61,3,364.5669296712904,0.0,-546.8503945069356,7.651615295991348,1.1736483248046818,0.0,1.0479848968424068,0.0,0.8480768418682423,0.854358764134512,0.9209625048706467,1012.8591975992983,748.1238276155519,310.7247902854273,237.0120446938998,1.0,1.0,10.948268101975934,8.034855773949133,0,0,0,0,0,0
62,3,364.66606830530276,0.0,-546.9991024579541,8.825379129455529,1.17376383346418,0.0,1.0480947086188508,0.0,0.8479505161594999,0.8543296776147605,0.920953424904613,1012.8263972355958,748.0788302327903,310.72353280639874,237.04979942093033,1.0,1.0,10.961178025215057,8.03008600735383,0,0,0,0,0,0
63,3,365.0214207462381,0.0,-547.5321311193571,10.0,1.1746208705444712,0.0,1.048145356608629,0.0,0.8477502912797058,0.8542085280749292,0.9208489720831308,1012.7929351983553,748.033837349767,310.7222754531181,237.07994960901345,1.0,1.0,11.000565260084105,8.102436979463668,0,0,0,0,0,0
64,3,-0.0,0.0,0.0,10.0,0,0.0,0,0.0,0.9998544718848378,,,1012.7214709048354,747.988848966032,310.7210182255728,237.08605661405258,,,,,0,0,0,0,0,0
65,3,0.0,140.32240471660367,5748.941954462459,9.325423777509751,0,0.6745762224902485,0,1.040553105704304,0.8160204557465958,0.8682339327725287,0.9273565947402327,1012.6500137577449,759.464652517004,307.49911217025794,237.0921630083912,1.0,0.6635440877417954,4.485317983859538,-2.079879843701079,0,0,0,0,0,0
66,3,0.0,88.22826478802729,3610.0909202376506,8.904003702021145,0,0.42142007548860766,0,1.041868041132609,0.8206632147969218,0.8682462493393533,0.9272323437287836,1012.5785637563691,759.6248404987264,306.71138305388337,237.09826879209038,1.0,0.41466762855105277,4.466201980860696,-2.0257458263441563,0,0,0,0,0,0
67,3,0.0,137.09321440316916,5616.525115847273,8.245013398283643,0,0.6589903037375024,0,1.0406850761975928,0.816420674953148,0.8682185529691624,0.9273407734822741,1012.5071208999935,759.503422236909,306.9648409532675,237.10437396521118,1.0,0.6481718128593889,4.504873583253466,-2.084953465259005,0,0,0,0,0,0
68,3,0.0,165.2842428721636,6775.981891328151,7.448126996007476,0,0.7968864022761664,0,1.0403403555077064,0.8139332586225735,0.8681598664078466,0.9273690894473181,1012.4356851879036,759.3096851703698,307.39130093459664,237.11047852781468,1.0,0.783386625133258,4.580926992521883,-2.109032762941826,0,0,0,0,0,0
69,3,0.0,186.0318844420098,7629.621779551702,6.549330866785644,0,0.8987961292218318,0,1.0399933791408766,0.8122142812013327,0.8681189855259114,0.927413541446383,1012.3642566193848,759.1197705207766,307.80184990842514,237.11658247996192,1.0,0.8827952083406441,4.6343838055243,-2.0864506526875424,0,0,0,0,0,0
70,3,0.0,112.40846559154652,4602.70529884452,6.010355046434267,0,0.5389758203513769,0,1.0413230281810608,0.819027900026906,0.8682093769335137,0.9272758858099241,1012.2928351937229,759.1263472135553,307.62125115638776,237.12268582171393,1.0,0.5301849191779248,4.515104436884809,-2.0738268530253556,0,0,0,0,0,0
